"Date","Price","Open","High","Low","Vol.","Change %"
"13-10-2024","52,094.20","51,263.25","52,199.45","51,000.90","569.32M","1.80%"
"06-10-2024","51,172.30","51,543.20","51,784.80","50,194.30","1.03B","-0.56%"
"29-09-2024","51,462.05","53,556.95","53,726.40","51,347.25","947.58M","-4.41%"
"22-09-2024","53,834.30","53,917.90","54,467.35","53,741.40","928.78M","0.08%"
"15-09-2024","53,793.20","52,038.70","54,066.10","51,921.45","847.10M","3.57%"
"08-09-2024","51,938.05","50,549.25","51,994.10","50,369.40","716.58M","2.69%"
"01-09-2024","50,576.85","51,579.50","51,750.10","50,447.30","752.66M","-1.51%"
"25-08-2024","51,351.00","51,100.65","51,466.55","50,938.10","962.03M","0.82%"
"18-08-2024","50,933.45","50,683.55","51,117.85","50,283.55","661.81M","0.82%"
"11-08-2024","50,516.90","50,412.60","50,830.70","49,654.65","580.31M","0.06%"
"04-08-2024","50,484.50","50,586.25","50,747.55","49,659.05","836.57M","-1.69%"
"28-07-2024","51,350.15","51,546.65","52,340.25","51,087.85","1.29B","0.11%"
"21-07-2024","51,295.95","52,145.60","52,547.55","50,438.30","1.08B","-1.86%"
"14-07-2024","52,265.60","52,330.05","52,782.75","52,146.30","618.53M","-0.03%"
"07-07-2024","52,278.90","52,533.10","52,794.55","51,749.45","840.37M","-0.72%"
"30-06-2024","52,660.35","52,351.15","53,357.70","51,996.65","1.03B","0.61%"
"23-06-2024","52,342.25","51,280.25","53,180.75","51,138.90","1.17B","1.32%"
"16-06-2024","51,661.45","50,194.35","51,957.00","49,900.20","1.15B","3.32%"
"09-06-2024","50,002.00","49,808.15","50,252.95","49,530.45","816.64M","0.40%"
"02-06-2024","49,803.20","50,889.85","51,133.20","46,077.85","2.07B","1.67%"
"26-05-2024","48,983.95","49,105.90","49,688.85","48,313.60","1.02B","0.03%"
"19-05-2024","48,971.65","48,197.30","49,052.95","47,435.25","710.32M","1.78%"
"12-05-2024","48,115.65","47,389.80","48,188.65","46,983.25","925.37M","1.46%"
"05-05-2024","47,421.10","49,174.55","49,252.65","47,313.35","1.35B","-3.07%"
"28-04-2024","48,923.55","48,359.90","49,974.75","48,342.70","1.24B","1.50%"
"21-04-2024","48,201.05","48,145.70","48,679.65","47,628.45","976.52M","1.32%"
"14-04-2024","47,574.15","48,057.50","48,255.50","46,579.05","734.14M","-2.04%"
"07-04-2024","48,564.55","48,586.75","49,057.40","48,424.65","866.02M","0.15%"
"31-03-2024","48,493.05","47,391.05","48,557.40","47,279.80","1.14B","2.90%"
"24-03-2024","47,124.60","46,552.95","47,440.45","46,529.05","804.69M","0.56%"
"17-03-2024","46,863.75","46,458.75","46,990.25","45,828.80","831.35M","0.58%"
"10-03-2024","46,594.10","47,792.20","47,853.80","46,310.50","1.25B","-2.60%"
"03-03-2024","47,835.80","47,377.45","48,161.25","47,191.65","795.27M","1.16%"
"25-02-2024","47,286.90","46,615.85","47,342.25","45,661.75","1.27B","1.02%"
"18-02-2024","46,811.75","46,554.90","47,363.40","46,317.70","906.93M","0.92%"
"11-02-2024","46,384.85","45,664.30","46,693.40","44,633.85","1.36B","1.64%"
"04-02-2024","45,634.55","45,962.25","46,181.20","44,859.15","1.32B","-0.73%"
"28-01-2024","45,970.95","45,171.50","46,892.35","45,071.20","1.58B","2.46%"
"21-01-2024","44,866.15","45,989.25","46,580.30","44,429.00","1.32B","-1.83%"
"14-01-2024","45,701.15","47,891.05","48,305.40","45,430.70","1.46B","-4.21%"
"07-01-2024","47,709.80","48,096.65","48,154.50","47,010.80","881.74M","-0.93%"
